№ схемы/риска,Статус РСЗ,Тип,Дата изменения статуса РСЗ,"Потенциальный ущерб, руб",ИНН НП,"Инспектор, сменивший статус","Код НО инспектора, сменившего стат"
9420809,Новое,RISK_SHORT,2024-06-26 10:35:20,16743.5802,469-pkd-kypa-wgsvn,72118-hqoy-uydqcb-wntslfnk,7724
9420810,Новое,RISK_SHORT,2024-06-26 10:35:20,60947.8086,163-idc-vgdg-wmpza,53996-przz-gnjexu-cbpselzg,5032
9420812,Новое,RISK_SHORT,2024-06-26 10:35:21,10222.425,679-ovu-ixff-hlrnq,17463-yysw-hogwcs-bbzjrjqk,7734
9420814,Новое,RISK_SHORT,2024-06-26 10:35:21,97748.7492,155-jec-yjfu-llnhf,66100-gphv-staylj-ylbwvhqk,7718
9420816,Новое,RISK_SHORT,2024-06-26 10:35:22,123575.247,448-uxr-jmqt-edziu,17585-ffor-mvcnei-gksazsqi,6679
9420817,Новое,RISK_SHORT,2024-06-26 10:35:22,17811.0624,957-nqx-xukb-nfovv,75225-hsft-xushfj-zfcqebql,7722
9420819,Новое,RISK_SHORT,2024-06-26 10:35:23,60908.0376,615-vyw-zniu-snnnu,15817-kmqt-fckntj-afkderng,7716
9420820,Новое,RISK_SHORT,2024-06-26 10:35:23,6713.712,763-vmc-nzyo-msqte,78158-exdp-zyvekb-iamcddde,6432
9420821,Новое,RISK_SHORT,2024-06-26 10:35:23,5005.1868,227-mmh-iqfw-gbtxi,36686-ormc-lpoken-sydbqzdi,6200
9420823,Новое,RISK_SHORT,2024-06-26 10:35:24,7773.9012,584-jsk-djaf-pwqvo,64798-cflx-oqqide-expkjbhp,6200
9420824,Новое,RISK_SHORT,2024-06-26 10:35:24,75076.3932,506-zhv-aysa-clige,84868-othl-zmcwjz-lhkurxha,6320
9420825,Новое,RISK_SHORT,2024-06-26 10:35:25,12183.1848,720-fkr-eovh-alugx,84756-mfhr-krmqie-dosiqhzv,6382
9420826,Новое,RISK_SHORT,2024-06-26 10:35:25,287957.0748,374-upd-qfkh-cmvom,92479-kzro-bkldol-ojfhtwto,4000
9420827,Новое,RISK_SHORT,2024-06-26 10:35:25,7132.4166,400-pgy-ccvu-dxdmq,79085-zjhx-ruqucr-ixjjqqiq,2310
9420828,Новое,RISK_SHORT,2024-06-26 10:35:26,68019.0,730-sal-zgxb-tmvrs,80784-smdk-rvlyum-jntlxsgn,7807
9420830,Новое,RISK_SHORT,2024-06-26 10:35:26,91376.3418,850-diu-mbbk-deoev,56331-oewh-iokqkd-kpxpvvmq,2635
9420832,Новое,RISK_SHORT,2024-06-26 10:35:27,7842.7194,905-xkt-gtrf-axxpg,31838-resa-nhgtaz-moicysmn,2000
9420834,Новое,RISK_SHORT,2024-06-26 10:35:27,620841.6698,728-wxz-zlmi-klswh,66361-tqcz-rkvhku-eqcvimgm,5406
9420835,Новое,RISK_SHORT,2024-06-26 10:35:28,14917.6026,144-wfn-wluq-slsnp,21623-vwtk-cnfxix-wnrokdzl,5473
9420839,Новое,RISK_SHORT,2024-06-26 10:35:28,22009.32,537-lyw-bikl-xdyfr,45427-ydut-gtswob-gmbvclpe,5024
